Driver,Year,Points,Team_Points
Lewis Hamilton,2021,387.5,613.5
Max Verstappen,2021,395.5,585.5
Valtteri Bottas,2021,226,613.5
Sergio Perez,2021,190,585.5
Charles Leclerc,2021,159,323.5
Carlos Sainz,2021,164.5,323.5
Lando Norris,2021,160,275
Daniel Ricciardo,2021,115,275
Pierre Gasly,2021,110,142
Yuki Tsunoda,2021,32,142
Fernando Alonso,2021,81,155
Esteban Ocon,2021,74,155
Sebastian Vettel,2021,43,77
Lance Stroll,2021,34,77
George Russell,2021,16,23
Nicholas Latifi,2021,7,23
Kimi Räikkönen,2021,10,13
Antonio Giovinazzi,2021,3,13
Lewis Hamilton,2020,347,573
Max Verstappen,2020,214,319
Valtteri Bottas,2020,223,573
Sergio Perez,2020,125,200
Charles Leclerc,2020,98,131
Carlos Sainz,2020,105,202
Lando Norris,2020,97,202
Daniel Ricciardo,2020,119,181
Pierre Gasly,2020,75,107
Esteban Ocon,2020,62,181
Sebastian Vettel,2020,33,131
Lance Stroll,2020,75,200
George Russell,2020,,
Nicholas Latifi,2020,,
Kimi Räikkönen,2020,4,8
Antonio Giovinazzi,2020,4,8
Lewis Hamilton,2019,413,739
Max Verstappen,2019,278,417
Valtteri Bottas,2019,326,739
Sergio Perez,2019,52,73
Charles Leclerc,2019,264,504
Carlos Sainz,2019,96,145
Lando Norris,2019,49,145
Daniel Ricciardo,2019,54,91
Pierre Gasly,2019,63,244
Pierre Gasly,2019,32,42
Sebastian Vettel,2019,240,504
Lance Stroll,2019,21,73
George Russell,2019,,
Kimi Räikkönen,2019,43,57
Antonio Giovinazzi,2019,14,57
Lewis Hamilton,2018,408,655
Max Verstappen,2018,249,419
Valtteri Bottas,2018,247,655
Sergio Perez,2018,62,111
Charles Leclerc,2018,39,48
Carlos Sainz,2018,53,122
Daniel Ricciardo,2018,170,419
Pierre Gasly,2018,29,33
Sebastian Vettel,2018,320,571
Lance Stroll,2018,6,7
Kimi Räikkönen,2018,251,571
Esteban Ocon,2018,49,111
Fernando Alonso,2018,50,62
Lewis Hamilton,2017,363,668
Max Verstappen,2017,168,368
Valtteri Bottas,2017,305,668
Sergio Perez,2017,100,187
Carlos Sainz,2017,54,97
Daniel Ricciardo,2017,200,368
Sebastian Vettel,2017,317,522
Lance Stroll,2017,40,83
Kimi Räikkönen,2017,205,522
Esteban Ocon,2017,87,187
Fernando Alonso,2017,17,30
Lewis Hamilton,2016,380,765
Max Verstappen,2016,204,424
Max Verstappen,2016,13,17
Valtteri Bottas,2016,85,138
Sergio Perez,2016,101,173
Carlos Sainz,2016,46,63
Daniel Ricciardo,2016,256,468
Sebastian Vettel,2016,212,398
Kimi Räikkönen,2016,186,398
Fernando Alonso,2016,54,75
Lewis Hamilton,2015,381,703
Max Verstappen,2015,49,67
Valtteri Bottas,2015,136,257
Sergio Perez,2015,78,136
Carlos Sainz,2015,18,67
Daniel Ricciardo,2015,92,187
Sebastian Vettel,2015,278,428
Kimi Räikkönen,2015,150,428
Fernando Alonso,2015,11,27
Lewis Hamilton,2014,384,701
Valtteri Bottas,2014,186,320
Sergio Perez,2014,59,155
Daniel Ricciardo,2014,238,405
Sebastian Vettel,2014,167,405
Kimi Räikkönen,2014,55,216
Fernando Alonso,2014,242,354
Lewis Hamilton,2013,189,360
Valtteri Bottas,2013,4,5
Sergio Perez,2013,49,122
Daniel Ricciardo,2013,20,33
Sebastian Vettel,2013,397,596
Fernando Alonso,2013,242,354
Kimi Räikkönen,2013,183,315
Lewis Hamilton,2012,190,378
Sergio Perez,2012,66,126
Daniel Ricciardo,2012,10,26
Sebastian Vettel,2012,281,460
Kimi Räikkönen,2012,207,303
Fernando Alonso,2012,278,400
Lewis Hamilton,2011,227,497
Sergio Perez,2011,14,44
Sebastian Vettel,2011,392,650
Fernando Alonso,2011,257,375
Lewis Hamilton,2010,240,454
Sebastian Vettel,2010,256,498
Fernando Alonso,2010,252,396
Lewis Hamilton,2009,49,71
Sebastian Vettel,2009,84,153.5
Fernando Alonso,2009,,
Kimi Räikkönen,2009,48,70
Lewis Hamilton,2008,98,151
Sebastian Vettel,2008,35,39
Fernando Alonso,2008,61,80
Kimi Räikkönen,2008,75,172
Lewis Hamilton,2007,109,218
Sebastian Vettel,2007,6,9
Fernando Alonso,2007,109,218
Kimi Räikkönen,2007,110,204
Fernando Alonso,2006,134,206
Kimi Räikkönen,2006,65,110
Fernando Alonso,2005,133,191
Kimi Räikkönen,2005,112,182
Fernando Alonso,2004,59,105
Kimi Räikkönen,2004,45,69
Fernando Alonso,2003,55,88
Kimi Räikkönen,2003,91,142
Kimi Räikkönen,2002,24,65
Kimi Räikkönen,2001,9,21
